,PRVDR_NUM,FY_END_DT,HMO,TOT_HOSP,LAB_DEL_DAYS,TOT_HOSP,MED_UTIL,SSI_PER,CST_TO_CHG,MED_CHG,MED_CST,CHAR_CHG,CHAR_CST,TOT_UNR_UNC,URBAN_RURAL,STATES,DSH_PAT_PER
0,40018,12/31/2018,0.0,0.0,0.0,481.0,0.0,0.1529,0.09775,0.0,0.0,0.0,0.0,21057.0,1.0,Arkansas,0.1529
2,100044,12/31/2018,1056.0,2965.0,50.0,31535.0,0.12909465673061676,0.0268,0.150952,52842459.0,7976675.0,36689023.0,6651214.0,11771030.0,1.0,Florida,0.15589465673061675
4,200019,12/31/2018,854.0,0.0,18.0,6287.0,0.13869890249721648,0.0434,0.388654,14723223.0,5722240.0,2478957.0,1178742.0,5012025.0,1.0,Maine,0.18209890249721647
6,450090,11/30/2018,18.0,46.0,7.0,707.0,0.10042432814710042,0.0465,0.26381,2189792.0,577689.0,426778.0,112588.0,594602.0,2.0,Texas,0.14692432814710044
8,40055,12/31/2018,0.0,0.0,0.0,9738.0,0.0,0.0942,0.144374,0.0,0.0,0.0,0.0,524684.0,1.0,Arkansas,0.0942
10,200037,12/31/2018,262.0,0.0,10.0,1701.0,0.15990593768371547,0.0765,0.426987,4709282.0,2010802.0,674268.0,451911.0,1211204.0,2.0,Maine,0.23640593768371548
12,201302,12/31/2018,126.0,0.0,0.0,1793.0,0.07027328499721137,0.0,0.594265,2070344.0,1230333.0,401379.0,259986.0,851792.0,2.0,Maine,0.07027328499721137
14,201312,12/31/2018,107.0,0.0,0.0,1499.0,0.0713809206137425,0.0,0.579935,5419568.0,3142997.0,621699.0,387717.0,1169545.0,2.0,Maine,0.0713809206137425
16,201315,12/31/2018,180.0,0.0,2.0,1129.0,0.1612046058458813,0.0,0.596949,3679143.0,2196261.0,349400.0,245229.0,1315237.0,2.0,Maine,0.1612046058458813
18,100105,12/31/2018,557.0,1434.0,22.0,13293.0,0.15143308508237419,0.0209,0.233834,22572410.0,5278197.0,5217401.0,1219756.0,5358823.0,1.0,Florida,0.1723330850823742
20,670126,01/31/2019,0.0,0.0,0.0,137.0,0.0,0.0,0.227127,0.0,0.0,0.0,0.0,704221.0,1.0,Texas,0.0
21,450746,02/28/2019,0.0,2.0,0.0,168.0,0.011904761904761904,0.027,0.185094,428807.0,79370.0,74903.0,13864.0,27476.0,2.0,Texas,0.0389047619047619
22,250128,02/28/2019,538.0,0.0,0.0,1530.0,0.3516339869281046,0.2477,0.244506,7225724.0,1766733.0,0.0,0.0,457790.0,2.0,Mississippi,0.5993339869281046
24,260050,03/31/2019,73.0,117.0,7.0,1149.0,0.17145343777197564,0.0383,0.457294,3265422.0,1493258.0,1258850.0,644888.0,1559104.0,2.0,Missouri,0.20975343777197564
27,83027,04/30/2019,0.0,0.0,0.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Delaware,0.0
29,170014,04/30/2019,4.0,144.0,15.0,1434.0,0.11366806136680614,0.0413,0.321085,3493439.0,1121691.0,826806.0,611050.0,1827809.0,2.0,Kansas,0.15496806136680613
31,420091,06/30/2019,1020.0,2609.0,61.0,18501.0,0.1994486784498135,0.107,0.079693,98614908.0,7858918.0,11803965.0,946866.0,3837982.0,2.0,South Carolina,0.3064486784498135
33,310086,06/30/2019,3940.0,10827.0,120.0,63080.0,0.236001902346227,0.059,0.140348,372262657.0,52246319.0,28863711.0,4286730.0,14498768.0,1.0,New Jersey,0.29500190234622703
35,420019,06/30/2019,43.0,140.0,0.0,1044.0,0.1752873563218391,0.1286,0.185174,868039.0,160738.0,3150037.0,583305.0,583305.0,1.0,South Carolina,0.30388735632183905
38,420036,06/30/2019,156.0,1250.0,58.0,6168.0,0.23735408560311283,0.0471,0.077183,66731033.0,5150501.0,19911878.0,1610127.0,3362286.0,1.0,South Carolina,0.2844540856031128
41,420055,02/28/2019,155.0,208.0,0.0,2941.0,0.12342740564433866,0.1225,0.156649,17451105.0,2733698.0,4820101.0,753988.0,2390109.0,2.0,South Carolina,0.24592740564433865
44,420036,02/28/2019,127.0,1039.0,29.0,4554.0,0.2624066754501537,0.0471,0.10086,44387979.0,4476972.0,16786121.0,1693048.0,5086810.0,2.0,South Carolina,0.30950667545015376
47,420019,02/28/2019,22.0,45.0,0.0,1163.0,0.05760963026655202,0.1286,0.271982,13436126.0,3654384.0,3549221.0,931635.0,3782256.0,2.0,South Carolina,0.18620963026655202
50,342017,01/31/2019,0.0,0.0,0.0,3058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,North Carolina,0.0
52,250042,05/31/2019,828.0,0.0,1.0,4737.0,0.17500527760185772,0.2624,0.115725,37515078.0,4341432.0,0.0,0.0,854985.0,2.0,Mississippi,0.43740527760185777
54,140082,05/31/2019,254.0,1674.0,0.0,7983.0,0.24151321558311412,0.114,0.150291,53627473.0,8059727.0,4489073.0,774448.0,3042815.0,2.0,Illinois,0.3555132155831141
56,370018,06/30/2019,1375.0,81.0,92.0,10150.0,0.15251231527093595,0.0522,0.220964,25974006.0,5739320.0,20243391.0,5714786.0,7944545.0,2.0,Oklahoma,0.20471231527093595
58,300020,06/30/2019,738.0,4276.0,148.0,27237.0,0.18952160663802914,0.0371,0.289246,59119422.0,17100056.0,8791663.0,4790958.0,9507991.0,1.0,New Hampshire,0.22662160663802913
60,370227,06/30/2019,480.0,0.0,35.0,2192.0,0.23494525547445255,0.0342,0.217656,6837508.0,1488225.0,5392534.0,1540287.0,2164331.0,1.0,Oklahoma,0.26914525547445256
